fechaComienzo
2015-07-05 03:26:17
Validaciones	Puerta Abierta	Porc.
13856	13812	0.996824480369515
IP	Valid	Puert	Porc
10.40.1.100	121	121	1
10.40.1.100	121	121	1
10.40.1.101	85	85	1
10.40.1.101	85	85	1
10.40.1.102	59	59	1
10.40.1.102	59	59	1
10.40.1.103	62	62	1
10.40.1.103	62	62	1
10.40.1.104	42	42	1
10.40.1.104	42	42	1
10.40.1.105	46	46	1
10.40.1.105	46	46	1
10.40.1.106	16	16	1
10.40.1.106	16	16	1
10.40.1.107	0	0	NULL
10.40.1.107	0	0	NULL
10.40.1.108	149	149	1
10.40.1.108	149	149	1
10.40.1.109	222	222	1
10.40.1.109	222	222	1
10.40.1.110	140	140	1
10.40.1.110	140	140	1
10.40.1.111	133	133	1
10.40.1.111	133	133	1
10.40.1.112	128	128	1
10.40.1.112	128	128	1
10.40.1.113	62	62	1
10.40.1.113	62	62	1
10.40.10.100	50	50	1
10.40.10.100	50	50	1
10.40.10.101	35	35	1
10.40.10.101	35	35	1
10.40.11.100	19	19	1
10.40.11.100	19	19	1
10.40.11.101	62	62	1
10.40.11.101	62	62	1
10.40.11.102	42	42	1
10.40.11.102	42	42	1
10.40.12.100	16	16	1
10.40.12.100	16	16	1
10.40.12.101	38	38	1
10.40.12.101	38	38	1
10.40.12.102	0	0	NULL
10.40.12.102	0	0	NULL
10.40.13.100	19	19	1
10.40.13.100	19	19	1
10.40.13.101	27	27	1
10.40.13.101	27	27	1
10.40.13.102	89	89	1
10.40.13.102	89	89	1
10.40.13.103	160	160	1
10.40.13.103	160	160	1
10.40.13.104	168	168	1
10.40.13.104	168	168	1
10.40.13.105	127	127	1
10.40.13.105	127	127	1
10.40.15.100	8	8	1
10.40.15.100	8	8	1
10.40.15.101	8	8	1
10.40.15.101	8	8	1
10.40.16.100	12	12	1
10.40.16.100	12	12	1
10.40.16.101	17	17	1
10.40.16.101	17	17	1
10.40.17.100	33	33	1
10.40.17.100	33	33	1
10.40.17.101	38	38	1
10.40.17.101	38	38	1
10.40.17.102	36	36	1
10.40.17.102	36	36	1
10.40.18.100	69	69	1
10.40.18.100	69	69	1
10.40.18.101	28	28	1
10.40.18.101	28	28	1
10.40.18.102	21	21	1
10.40.18.102	21	21	1
10.40.2.100	32	32	1
10.40.2.100	32	32	1
10.40.2.101	32	20	0.625
10.40.2.101	32	20	0.625
10.40.20.100	19	19	1
10.40.20.100	19	19	1
10.40.20.101	41	41	1
10.40.20.101	41	41	1
10.40.21.100	46	46	1
10.40.21.100	46	46	1
10.40.21.101	76	76	1
10.40.21.101	76	76	1
10.40.21.102	85	85	1
10.40.21.102	85	85	1
10.40.21.103	72	72	1
10.40.21.103	72	72	1
10.40.22.100	38	38	1
10.40.22.100	38	38	1
10.40.22.101	27	27	1
10.40.22.101	27	27	1
10.40.22.102	23	23	1
10.40.22.102	23	23	1
10.40.22.103	22	22	1
10.40.22.103	22	22	1
10.40.23.100	32	32	1
10.40.23.100	32	32	1
10.40.23.101	39	39	1
10.40.23.101	39	39	1
10.40.23.102	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	0	0	NULL
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	0	0	NULL
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	8	8	1
10.40.30.100	8	8	1
10.40.30.101	17	17	1
10.40.30.101	17	17	1
10.40.4.100	21	21	1
10.40.4.100	21	21	1
