
01/08/2015|00:00|1115309|1139223|1128353|1138837|1133652|1138837|1136295|1138837|1136378|1137329|1136378|1137329|1137943|1139223|1137940|1139223|2207938|2272047|2203156|2267159|2240037|2267159|2263441|2272047|2267334|2272047|2272047|2333294
01/08/2015|01:00|1115957|1139871|1129001|1139485|1134300|1139485|1136943|1139485|1137026|1137977|1137026|1137977|1138591|1139871|1138588|1139871|2209210|2273415|2204428|2268527|2241333|2268527|2264785|2273415|2268702|2273415|2273415|2334710
01/08/2015|02:00|1116605|1140513|1129649|1140133|1134948|1140133|1137591|1140133|1137674|1138625|1137674|1138625|1139239|1140519|1139236|1140519|2210524|2274783|2205742|2269895|2242671|2269895|2266129|2274783|2270070|2274783|2274783|2336126
01/08/2015|03:00|1117253|1141164|1130297|1140781|1135596|1140781|1138239|1140781|1138322|1139273|1138322|1139273|1139887|1141167|1139884|1141167|2211868|2276151|2207086|2271263|2244039|2271263|2267473|2276151|2271438|2276151|2276151|2337542
01/08/2015|04:00|1117901|1141814|1130945|1141429|1136244|1141429|1138887|1141429|1138970|1139921|1138970|1139921|1140535|1141815|1140532|1141815|2213212|2277519|2208430|2272631|2245407|2272631|2268817|2277519|2272806|2277519|2277519|2338958
01/08/2015|06:00|1119184|1143098|1132228|1142712|1137527|1142712|1140170|1142712|1140253|1141204|1140253|1141204|1141818|1143098|1141815|1143098|2215900|2280255|2211118|2275367|2248143|2275367|2271505|2280255|2275542|2280255|2280255|2341790
01/08/2015|07:00|1119832|1143746|1132876|1143360|1138175|1143360|1140818|1143360|1140901|1141852|1140901|1141852|1142466|1143746|1142463|1143746|2217238|2281623|2212456|2276735|2249511|2276735|2272847|2281623|2276910|2281623|2281623|2343206
01/08/2015|08:00|1120473|1144394|1133524|1144008|1138819|1144008|1141466|1144008|1141549|1142500|1141549|1142500|1143113|1144394|1143111|1144394|2218581|2282991|2213799|2278103|2250878|2278103|2274191|2282991|2278278|2282991|2282991|2344622
01/08/2015|09:00|1121116|1145042|1134172|1144656|1139465|1144656|1142114|1144656|1142197|1143148|1142197|1143148|1143761|1145042|1143759|1145042|2219921|2284359|2215139|2279471|2252244|2279471|2275535|2284359|2279646|2284359|2284359|2346038
01/08/2015|10:00|1121757|1145690|1134814|1145304|1140112|1145304|1142762|1145304|1142845|1143796|1142845|1143796|1144408|1145690|1144407|1145690|2221264|2285727|2216482|2280839|2253612|2280839|2276879|2285727|2281014|2285727|2285727|2347454
